,min_temp
1442,-76.0
1443,-76.0
1444,-71.0
1445,-71.0
1446,-74.0
1447,-77.0
1448,-70.0
1449,-71.0
1450,-72.0
1451,-70.0
1452,-72.0
1453,-76.0
1454,-76.0
1455,-77.0
1456,-73.0
1457,-75.0
1458,-70.0
1459,-72.0
1460,-76.0
1461,-70.0
1462,-71.0
1463,-70.0
1464,-71.0
1465,-70.0
1466,-81.0
1467,-74.0
1468,-72.0
1469,-73.0
1470,-72.0
1471,-72.0
1472,-74.0
1473,-73.0
1474,-72.0
1475,-72.0
1476,-74.0
1477,-75.0
1478,-77.0
1479,-76.0
1480,-72.0
1481,-73.0
1482,-72.0
1483,-72.0
1484,-76.0
1485,-73.0
1486,-71.0
1487,-72.0
1488,-74.0
1489,-71.0
1490,-74.0
1491,-73.0
1492,-70.0
1493,-72.0
1494,-71.0
1495,-71.0
1496,-77.0
1497,-76.0
1498,-77.0
1499,-73.0
1500,-75.0
1501,-77.0
1502,-72.0
1503,-71.0
1504,-72.0
1505,-73.0
1506,-73.0
1507,-73.0
1508,-72.0
1509,-71.0
1510,-73.0
1511,-70.0
1512,-73.0
1513,-71.0
1514,-71.0
1515,-72.0
1516,-71.0
1517,-71.0
1518,-72.0
1519,-71.0
1520,-74.0
1521,-77.0
1522,-77.0
1523,-72.0
1524,-75.0
1525,-72.0
1526,-73.0
1527,-72.0
1528,-73.0
1529,-73.0
1530,-71.0
1531,-72.0
1532,-72.0
1533,-72.0
1534,-74.0
1535,-74.0
1536,-74.0
1537,-74.0
1538,-73.0
1539,-73.0
1540,-74.0
1541,-75.0
1542,-77.0
1543,-76.0
1544,-75.0
1545,-75.0
1546,-76.0
1547,-75.0
1548,-75.0
1549,-77.0
1550,-77.0
1551,-74.0
1552,-75.0
1553,-75.0
1554,-74.0
1555,-74.0
1556,-76.0
1557,-76.0
1558,-76.0
1559,-77.0
1560,-74.0
1561,-76.0
1562,-76.0
1563,-74.0
1564,-75.0
1565,-75.0
1566,-75.0
1567,-76.0
1568,-74.0
1569,-74.0
1570,-75.0
1571,-74.0
1572,-74.0
1573,-76.0
1574,-75.0
1575,-75.0
1576,-77.0
1577,-75.0
1578,-75.0
1579,-76.0
1580,-75.0
1581,-76.0
1582,-62.0
1583,-76.0
1584,-76.0
1585,-77.0
1586,-75.0
1587,-77.0
1588,-77.0
1589,-76.0
1590,-76.0
1591,-76.0
1592,-75.0
1593,-76.0
1594,-77.0
1595,-76.0
1596,-77.0
1597,-77.0
1598,-76.0
1599,-76.0
1600,-76.0
1601,-75.0
1602,-77.0
1603,-75.0
1604,-77.0
1605,-77.0
1606,-76.0
1607,-76.0
1608,-77.0
1609,-77.0
1610,-76.0
1611,-76.0
1612,-77.0
1613,-76.0
1614,-77.0
1615,-79.0
1616,-76.0
1617,-75.0
1618,-76.0
1619,-76.0
1620,-77.0
1621,-78.0
1622,-78.0
1623,-77.0
1624,-78.0
1625,-78.0
1626,-77.0
1627,-78.0
1628,-78.0
1629,-77.0
1630,-78.0
1631,-78.0
1632,-77.0
1633,-78.0
1634,-78.0
1635,-78.0
1636,-76.0
1637,-79.0
1638,-79.0
1639,-76.0
1640,-77.0
1641,-78.0
1642,-80.0
1643,-76.0
1644,-78.0
1645,-77.0
1646,-78.0
1647,-78.0
1648,-78.0
1649,-77.0
1650,-78.0
1651,-77.0
1652,-77.0
1653,-78.0
1654,-79.0
1655,-77.0
1656,-79.0
1657,-77.0
1658,-78.0
1659,-76.0
1660,-79.0
1661,-79.0
1662,-78.0
1663,-78.0
1664,-79.0
1665,-80.0
1666,-79.0
1667,-79.0
1668,-81.0
1669,-78.0
1670,-77.0
1671,-78.0
1672,-78.0
1673,-79.0
1674,-80.0
1675,-77.0
1676,-79.0
1677,-79.0
1678,-79.0
1679,-81.0
1680,-79.0
1681,-80.0
1682,-80.0
1683,-80.0
1684,-81.0
1685,-80.0
1686,-79.0
1687,-79.0
1688,-78.0
1689,-80.0
1690,-80.0
1691,-79.0
1692,-78.0
1693,-78.0
1694,-78.0
1695,-80.0
1696,-78.0
1697,-79.0
1698,-80.0
1699,-78.0
1700,-79.0
1701,-79.0
1702,-80.0
1703,-80.0
1704,-81.0
1705,-82.0
1706,-80.0
1707,-81.0
1708,-82.0
1709,-79.0
1710,-81.0
1711,-78.0
1712,-80.0
1713,-80.0
1714,-80.0
1715,-80.0
1716,-80.0
1717,-80.0
1718,-78.0
1719,-80.0
1720,-80.0
1721,-84.0
1722,-81.0
1723,-80.0
1724,-80.0
1725,-81.0
1726,-81.0
1727,-79.0
1728,-80.0
1729,-77.0
1730,-77.0
1731,-79.0
1732,-80.0
1733,-81.0
1734,-80.0
1735,-80.0
1736,-80.0
1737,-80.0
1738,-80.0
1739,-80.0
1740,-87.0
1741,-80.0
1742,-80.0
1743,-80.0
1744,-78.0
1745,-80.0
1746,-80.0
1747,-81.0
1748,-79.0
1749,-80.0
1750,-79.0
1751,-81.0
1752,-80.0
1753,-82.0
1754,-80.0
1755,-80.0
1756,-78.0
1757,-80.0
1758,-81.0
1759,-81.0
1760,-80.0
1761,-79.0
1762,-79.0
1763,-80.0
1764,-79.0
1765,-79.0
1766,-79.0
1767,-79.0
1768,-79.0
1769,-79.0
1770,-79.0
1771,-78.0
1772,-78.0
1773,-79.0
1774,-79.0
1775,-79.0
1776,-79.0
1777,-79.0
1778,-80.0
1779,-79.0
1780,-80.0
1781,-81.0
1782,-79.0
1783,-79.0
1784,-78.0
1785,-79.0
1786,-80.0
1787,-81.0
1788,-81.0
1789,-81.0
1790,-81.0
1791,-79.0
1792,-78.0
1793,-79.0
1794,-80.0
1795,-79.0
1796,-79.0
1797,-79.0
1798,-80.0
1799,-80.0
1800,-79.0
1801,-80.0
1802,-79.0
1803,-78.0
1804,-78.0
1805,-79.0
1806,-80.0
1807,-77.0
1808,-77.0
1809,-77.0
1810,-78.0
1811,-79.0
1812,-77.0
1813,-78.0
1814,-79.0
1815,-80.0
1816,-79.0
1817,-78.0
1818,-79.0
1819,-79.0
1820,-79.0
1821,-79.0
1822,-78.0
1823,-79.0
1824,-80.0
1825,-79.0
1826,-80.0
1827,-78.0
1828,-78.0
1829,-77.0
1830,-77.0
1831,-78.0
1832,-78.0
1833,-80.0
1834,-78.0
1835,-79.0
1836,-78.0
1837,-78.0
1838,-78.0
1839,-79.0
1840,-77.0
1841,-80.0
1842,-78.0
1843,-77.0
1844,-77.0
1845,-79.0
1846,-77.0
1847,-77.0
1848,-78.0
1849,-78.0
1850,-77.0
1851,-78.0
1852,-77.0
1853,-76.0
1854,-76.0
1855,-77.0
1856,-76.0
1857,-76.0
1858,-76.0
1859,-77.0
1860,-78.0
1861,-78.0
1862,-78.0
1863,-77.0
1864,-76.0
1865,-77.0
1866,-77.0
